date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
27-01-2025,SIWSA,POOR,8,128,BKUDT,14-04-2025,male,3.816,1.404
27-01-2025,SIWSA,GOOD,1,129,BLPIM,24-03-2025,male,4.738,1.842
27-01-2025,SIWSA,GOOD,1,130,HSKSJ,24-03-2025,male,4.943,1.684
27-01-2025,SIWSA,GOOD,1,131,CQDGP,24-03-2025,male,6.069,1.81
27-01-2025,SIWSA,GOOD,4,133,OUAMX,26-03-2025,male,5.502,2.011
27-01-2025,SIWSA,GOOD,4,133,YVEMS,28-03-2025,male,3.814,1.728
27-01-2025,SIWSA,GOOD,4,133,WPWUK,28-03-2025,femelle,3.823,1.817
27-01-2025,SIWSA,GOOD,4,133,YKESD,31-03-2025,femelle,3.551,1.619
27-01-2025,SIWSA,GOOD,8,134,EGNKH,25-03-2025,male,4.823,1.696
27-01-2025,SIWSA,GOOD,8,134,NDNNR,25-03-2025,male,4.308,1.77
27-01-2025,SIWSA,GOOD,8,134,DRSYA,25-03-2025,femelle,3.737,1.579
27-01-2025,SIWSA,GOOD,8,134,MLORT,27-03-2025,male,6.555,1.784
27-01-2025,SIWSA,GOOD,8,134,CEADH,27-03-2025,femelle,3.85,1.72
27-01-2025,25BKI,POOR,1,135,WGDTP,07-04-2025,femelle,3.333,1.588
27-01-2025,25BKI,POOR,1,136,LUALY,14-04-2025,femelle,3.148,1.521
27-01-2025,25BKI,POOR,1,137,BKDSF,21-04-2025,male,3.66,1.357
27-01-2025,25BKI,POOR,4,138,UKBBL,08-04-2025,femelle,3.408,1.822
27-01-2025,25BKI,POOR,4,139,GOTDM,09-04-2025,male,3.978,1.508
27-01-2025,25BKI,POOR,4,140,UPAFW,10-04-2025,femelle,3.24,1.735
27-01-2025,25BKI,POOR,8,141,JYWBV,07-04-2025,male,3.836,1.602
27-01-2025,25BKI,POOR,8,141,FNQGU,07-04-2025,femelle,3.4,1.727
27-01-2025,25BKI,POOR,8,141,EWDLT,07-04-2025,femelle,3.534,1.779
27-01-2025,25BKI,POOR,8,141,QGUCP,14-04-2025,femelle,3.371,1.617
27-01-2025,25BKI,GOOD,1,142,RILUS,28-03-2025,male,5.233,1.837
27-01-2025,25BKI,GOOD,1,143,DRXTH,25-03-2025,male,4.846,1.792
27-01-2025,25BKI,GOOD,1,144,OWSHI,31-03-2025,male,3.682,1.731
27-01-2025,25BKI,GOOD,4,145,BHJHZ,18-03-2025,male,5.901,1.608
27-01-2025,25BKI,GOOD,4,145,RZRFK,21-03-2025,male,5.971,1.91
27-01-2025,25BKI,GOOD,4,145,LCGEH,24-03-2025,male,4.337,1.721
27-01-2025,25BKI,GOOD,4,146,KLFKE,24-03-2025,male,5.416,1.791
27-01-2025,25BKI,GOOD,4,146,USFCE,24-03-2025,femelle,3.41,1.913
27-01-2025,25BKI,GOOD,4,146,IUGFQ,26-03-2025,male,6.791,1.769
27-01-2025,25BKI,GOOD,4,147,BBKUZ,24-03-2025,femelle,3.429,1.551
27-01-2025,25BKI,GOOD,4,147,CHCXT,26-03-2025,femelle,3.674,1.586
27-01-2025,25BKI,GOOD,8,148,EYVJG,21-03-2025,femelle,3.855,1.826
27-01-2025,25BKI,GOOD,8,148,VDTGB,21-03-2025,femelle,3.623,1.829
27-01-2025,25BKI,GOOD,8,148,SDTTM,24-03-2025,femelle,3.354,1.825
27-01-2025,25BKI,GOOD,8,148,ZMBCJ,24-03-2025,femelle,3.473,1.74
27-01-2025,25BKI,GOOD,8,148,YIQSJ,25-03-2025,male,4.409,1.67
27-01-2025,25BKI,GOOD,8,148,ZAMCX,25-03-2025,male,5.462,1.723
27-01-2025,25BKI,GOOD,8,148,AJSGN,25-03-2025,femelle,3.588,1.665
